"area","balcony","basement","bath_tube","building_plot","cabletv","ceiling","cheminee","elevator","first_time","floors","furnished","home_type","kids_friendly","laundry","minergie","new_building","newly_built","oldbuilding","oven","parking_indoor","parking_outside","playground","pool","price","quiet","raised_groundfloor","rooms","sale","sunny","terrace","topstorage","veranda","wheelchair","year","year_built","zipcode"
60,1,0,0,0,0,0,0,0,0,2,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,0,"315000.0CHF",0,0,3.5,1,0,0,0,0,0,2017,1992,3954
62,1,1,0,0,0,0,0,1,0,1,0,"Wohnung",0,0,0,0,1,0,0,0,1,0,0,"320000.0CHF",0,0,2.5,1,0,0,0,0,0,2019,2020,1898
89,0,0,0,0,0,0,0,1,0,4,0,"Dachwohnung",0,0,0,0,1,0,0,0,0,0,0,"595000.0CHF",0,0,4.5,1,0,0,0,0,1,2016,2014,6110
119,1,0,0,0,1,0,1,0,0,1,0,"Wohnung",0,0,0,0,0,0,0,0,1,0,0,"520000.0CHF",0,0,4.5,1,0,0,0,0,0,2017,1899,9306
167,1,0,0,0,0,0,0,1,0,3,0,"Wohnung",1,0,0,0,1,0,0,1,1,0,0,"1200000.0CHF",0,0,3.5,NA,0,0,0,0,0,2017,2015,6965
72,1,0,0,0,0,0,0,1,0,2,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,0,"1650000.0CHF",0,0,3.5,NA,0,0,0,0,0,2014,1973,9100
93,1,0,0,0,0,0,0,0,0,2,0,"Wohnung",0,0,0,0,0,0,0,1,0,0,0,"480000.0CHF",0,0,4.5,1,0,0,0,0,0,2013,1979,8500
155,1,0,0,0,1,0,0,1,0,3,0,"Wohnung",1,0,0,0,0,0,0,1,0,0,0,"1415000.0CHF",0,0,5.5,1,0,0,0,0,0,2016,2006,8810
75,0,0,0,0,0,0,0,0,0,2,0,"Wohnung",0,0,0,0,1,0,0,0,0,0,0,"775000.0CHF",0,0,3.5,NA,0,0,0,0,0,2018,2018,3963
110,1,0,0,0,0,0,1,0,0,1,0,"Wohnung",0,0,0,0,0,0,0,1,1,0,0,"595000.0CHF",0,0,4.5,1,0,0,0,0,0,2013,1981,8152
99,1,0,0,0,0,0,0,0,0,2,0,"Dachwohnung",0,0,0,0,0,0,0,0,0,0,0,"495000.0CHF",0,0,3,1,0,0,0,0,0,2013,1955,4153
197,1,0,0,0,0,0,0,1,0,1,0,"Wohnung",1,0,0,0,1,0,0,1,1,0,0,"2880000.0CHF",0,0,3.5,1,0,0,0,0,0,2017,2015,6600
39,1,0,0,0,0,0,0,0,0,2,0,"Wohnung",0,0,0,0,1,0,0,0,0,0,0,"1230000.0CHF",0,0,2,NA,0,0,0,0,0,2013,2016,1541
47,0,0,0,0,0,0,0,0,0,1,0,"Wohnung",0,0,0,0,0,0,0,1,0,0,0,"290000.0CHF",0,0,1,1,0,0,0,0,0,2017,2007,1660
230,1,0,0,0,0,0,1,1,0,5,0,"Attika",0,0,0,0,0,0,0,0,1,0,0,"1900000.0CHF",0,0,8.5,1,0,0,0,0,1,2016,2008,6982
85,1,0,0,0,0,0,0,1,0,2,0,"Wohnung",0,0,0,0,1,0,0,0,0,0,0,"440000.0CHF",0,0,3.5,1,0,0,0,0,0,2014,2015,3250
191,1,0,0,0,0,0,0,1,0,4,0,"Wohnung",0,1,0,0,1,0,0,0,1,0,0,"1000000.0CHF",0,0,5.5,NA,0,0,0,0,0,2015,2005,3994
67,0,0,0,0,0,0,0,0,0,2,0,"Wohnung",0,0,0,0,0,0,0,0,1,0,0,"285000.0CHF",0,0,2.5,1,0,0,0,0,0,2013,1989,1897
92,1,0,0,0,0,0,0,1,0,4,0,"Wohnung",0,0,0,0,1,0,0,0,0,0,0,"353000.0CHF",0,0,3.5,1,0,0,0,0,0,2012,2012,4922
100,0,0,0,0,0,0,0,0,0,1,0,"Wohnung",0,0,0,1,1,0,0,0,0,0,0,"825000.0CHF",0,0,4.5,1,0,0,0,0,0,2019,2019,1934
170,1,0,0,0,0,0,1,1,0,1,0,"Wohnung",1,0,0,0,0,0,0,1,1,0,0,"2900000.0CHF",0,0,3.5,NA,0,0,0,0,0,2019,2013,2207
110,0,0,0,0,0,0,0,0,0,2,0,"Wohnung",0,0,0,0,0,0,0,0,1,0,0,"495000.0CHF",0,0,3.5,1,0,0,0,0,0,2017,1906,1630
85,1,0,0,0,1,0,0,1,0,1,0,"Wohnung",1,0,0,0,0,0,0,1,0,0,0,"590000.0CHF",0,0,3.5,1,0,0,0,0,0,2015,1985,6912
80,1,0,0,0,1,0,0,0,0,1,0,"Wohnung",1,0,0,0,0,0,0,0,1,0,0,"215000.0CHF",0,0,4,1,0,0,0,0,0,2013,1998,2314
125,1,0,0,0,0,0,0,0,0,-1,0,"Wohnung",1,0,0,0,1,0,0,1,0,0,0,"455000.0CHF",0,0,4.5,NA,0,0,0,0,0,2016,2016,1896
147,0,0,0,0,1,0,1,1,0,3,0,"Terrassenwohnung",1,0,0,0,0,0,0,0,0,0,0,"990000.0CHF",0,0,4.5,1,0,0,0,0,0,2014,1990,6370
110,0,0,0,0,0,0,0,1,0,2,0,"Wohnung",1,0,0,0,0,0,0,0,0,0,0,"770000.0CHF",0,0,4.5,1,0,0,0,0,0,2018,2001,8310
121,0,0,0,0,0,0,0,0,0,2,0,"Wohnung",0,0,0,0,1,0,0,0,0,0,0,"1490000.0CHF",0,0,3.5,1,0,0,0,0,0,2015,2015,6900
97,1,0,0,0,0,0,0,0,0,1,0,"Wohnung",0,0,0,0,1,0,0,0,0,0,0,"1100000.0CHF",0,0,3,1,0,0,0,0,0,2012,2014,3823
143,1,0,0,0,1,0,0,1,0,1,0,"Wohnung",0,0,0,1,1,0,0,1,1,0,0,"710000.0CHF",0,0,4.5,1,0,0,0,0,0,2018,2018,4435
100,1,0,0,0,0,0,0,1,0,3,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,0,"725000.0CHF",0,0,4.5,NA,0,0,0,0,0,2018,2007,9320
150,0,0,0,0,0,0,0,0,0,2,0,"Maisonette",0,0,0,0,1,0,0,0,0,0,0,"739000.0CHF",0,0,5.5,1,0,0,0,0,0,2013,2013,4528
90,0,0,0,0,1,0,0,0,0,3,0,"Wohnung",0,0,0,0,1,0,0,0,0,0,0,"817000.0CHF",0,0,3.5,NA,0,0,0,0,0,2015,2014,1010
146,1,0,0,0,1,0,0,1,0,1,0,"Wohnung",1,0,0,0,0,0,0,1,1,0,0,"695000.0CHF",0,0,5.5,NA,0,0,0,0,0,2016,1995,8197
150,0,0,0,0,1,0,0,0,0,2,0,"Attika",0,0,0,0,0,0,0,0,0,0,0,"595000.0CHF",0,0,4.5,NA,0,0,0,0,0,2015,1990,9056
