"area","balcony","basement","bath_tube","building_plot","cabletv","ceiling","cheminee","elevator","first_time","floors","furnished","home_type","kids_friendly","laundry","minergie","new_building","newly_built","oldbuilding","oven","parking_indoor","parking_outside","playground","pool","price","quiet","raised_groundfloor","rooms","sale","sunny","terrace","topstorage","veranda","wheelchair","year","year_built","zipcode"
165,0,0,0,0,0,0,1,1,0,3.53778691744153,0,"Attika",1,0,0,0,0,0,0,1,0,0,0,2390,0,0,4.5,1,0,0,0,0,0,2015,1991,1630
80,0,0,0,0,0,0,0,1,0,7,0,"Wohnung",0,0,0,0,1,0,0,0,1,0,0,2424,0,0,3.5,1,0,0,0,0,0,2014,2013,6900
165,0,0,0,0,0,0,0,0,0,6,0,"Wohnung",0,0,0,0,1,0,0,0,0,0,0,734,0,0,6,1,0,0,0,0,0,2015,2013,1202
106,1,0,0,0,0,0,1,0,0,1,0,"Wohnung",1,0,0,0,0,0,0,1,1,0,0,1930,0,0,4.5,1,0,0,0,0,0,2016,1984.55528037555,6953
135,1,0,0,0,0,0,0,1,0,4.42459881442325,0,"Attika",0,0,0,1,0,0,0,0,1,0,0,347,0,0,3.5,1,0,0,0,0,0,2012,1850,1297
80,1,0,0,0,1,0,0,0,0,1.8204515657363,0,"Terrassenwohnung",0,0,0,0,0,0,0,0,0,0,0,920,0,0,3.5,1,0,0,0,0,0,2017,1984.54810836196,9036
86.3839593767747,0,0,0,0,0,0,0,0,0,3.13384063357193,0,"Attika",0,0,0,0,0,0,0,0,0,0,0,2036,0,0,3,1,0,0,0,0,0,2016,1983.71003964959,1820
67,0,0,0,0,0,0,0,0,0,3,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,0,1668,0,0,3,1,0,0,0,0,0,2014,1907,3014
127.490702553621,0,0,0,0,0,0,0,0,0,2,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,0,1564,0,0,4.5,1,0,0,0,0,0,2015,1982.25411813491,9016
91,1,0,0,0,0,0,0,1,0,1,0,"Wohnung",1,0,0,1,1,0,0,1,1,0,0,1564,0,0,3.5,1,0,0,0,0,0,2017,2018,1678
123,1,0,0,0,0,0,0,1,0,1.95817412756799,0,"Wohnung",1,0,0,0,1,0,0,0,0,0,0,1884,0,0,4.5,1,0,0,0,0,0,2017,2017,4665
60,1,0,0,0,0,0,0,0,0,2,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,0,1100,0,0,3.5,1,0,0,0,0,0,2017,1992,3954
62,1,1,0,0,0,0,0,1,0,1.7017615542498,0,"Wohnung",0,0,0,0,1,0,0,0,1,0,0,1120,0,0,2.5,1,0,0,0,0,0,2019,2020,1898
89,0,0,0,0,0,0,0,1,0,4,0,"Dachwohnung",0,0,0,0,1,0,0,0,0,0,0,1861,0,0,4.5,1,0,0,0,0,1,2016,2014,6110
119,1,0,0,0,1,0,1,0,0,2.18524432179673,0,"Wohnung",0,0,0,0,0,0,0,0,1,0,0,1668,0,0,4.5,1,0,0,0,0,0,2017,1899,9306
164,1,0,0,0,0,0,1,1,0,8,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,0,758,0,0,5,1,0,0,0,0,0,2016,1956.27027214163,1218
140.838685359386,0,0,0,0,0,0,0,0,0,2,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,0,414,0,0,5,1,0,0,0,0,0,2016,1979.80557383171,1245
93,1,0,0,0,0,0,0,0,0,2,0,"Wohnung",0,0,0,0,0,0,0,1,0,0,0,1564,0,0,4.5,1,0,0,0,0,0,2013,1979,8500
155,1,0,0,0,1,0,0,1,0,3,0,"Wohnung",1,0,0,0,0,0,0,1,0,0,0,340,0,0,5.5,1,0,0,0,0,0,2016,2006,8810
59,1,0,0,0,0,0,0,1,0,2.33313796896674,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,0,1668,0,0,2.5,1,0,0,0,0,0,2015,1983.59686273195,1029
110,1,0,0,0,0,0,1,0,0,1,0,"Wohnung",0,0,0,0,0,0,0,1,1,0,0,1861,0,0,4.5,1,0,0,0,0,0,2013,1981,8152
99,1,0,0,0,0,0,0,0,0,2,0,"Dachwohnung",0,0,0,0,0,0,0,0,0,0,0,1606,0,0,3,1,0,0,0,0,0,2013,1955,4153
197,1,0,0,0,0,0,0,1,0,2.2151800875407,0,"Wohnung",1,0,0,0,1,0,0,1,1,0,0,1004,0,0,3.5,1,0,0,0,0,0,2017,2015,6600
130,0,0,0,0,0,0,0,0,0,2.22451295187613,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,0,610,0,0,4.49437795927217,1,0,0,0,0,0,2013,1974.85677741818,1009
47,0,0,0,0,0,0,0,0,0,1,0,"Wohnung",0,0,0,0,0,0,0,1,0,0,0,1010,0,0,1,1,0,0,0,0,0,2017,2007,1660
