"area","balcony","basement","bath_tube","building_plot","cabletv","ceiling","cheminee","elevator","first_time","floors","furnished","home_type","kids_friendly","laundry","minergie","oven","parking_indoor","parking_outside","playground","pool","quiet","raised_groundfloor","rooms","sale","sunny","terrace","topstorage","veranda","wheelchair","zipcode","age"
197,1,0,0,0,0,0,0,1,0,4,0,"Wohnung",1,0,0,0,1,1,0,0,0,0,3.5,1,0,0,0,0,0,"6600",5
130,0,0,0,0,0,0,0,0,0,4,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,3.5,1,0,0,0,0,0,"1009",7
47,0,0,0,0,0,0,0,0,0,1,0,"Wohnung",0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,"1660",13
230,1,0,0,0,0,0,1,1,0,5,0,"Attika",0,0,0,0,0,1,0,0,0,0,8.5,1,0,0,0,0,1,"6982",12
85,1,0,0,0,0,0,0,1,0,2,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,3.5,1,0,0,0,0,0,"3250",5
137,1,0,0,0,1,0,0,1,0,1,0,"Wohnung",0,0,0,0,1,0,0,0,0,0,4.5,1,0,0,0,0,0,"9400",5
67,0,0,0,0,0,0,0,0,0,1,0,"Wohnung",0,0,0,0,0,1,0,0,0,0,2.5,1,0,0,0,0,0,"1897",31
92,1,0,0,0,0,0,0,1,0,1,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,3.5,1,0,0,0,0,0,"4922",8
100,0,0,0,0,0,0,0,0,0,2,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,3.5,1,0,0,0,0,0,"1934",1
80,1,0,0,0,1,0,1,0,0,3,0,"Wohnung",1,0,0,0,0,0,0,0,0,0,3.5,1,0,0,0,0,0,"7019",7
110,0,0,0,0,0,0,0,0,0,1,0,"Wohnung",0,0,0,0,0,1,0,0,0,0,3.5,1,0,0,0,0,0,"1630",114
85,1,0,0,0,1,0,0,1,0,5,0,"Wohnung",1,0,0,0,1,0,0,0,0,0,3.5,1,0,0,0,0,0,"6912",35
77,1,0,0,0,1,0,0,0,0,1,0,"Wohnung",1,0,0,0,0,1,0,0,0,0,4,1,0,0,0,0,0,"2314",22
118,0,0,0,0,1,0,0,1,0,1,0,"Wohnung",0,0,0,0,1,0,0,0,0,0,5,1,0,0,0,0,0,"1252",13
147,0,0,0,0,1,0,1,1,0,3,0,"Terrassenwohnung",1,0,0,0,0,0,0,0,0,0,4.5,1,0,0,0,0,0,"6370",30
110,0,0,0,0,0,0,0,1,0,2,0,"Wohnung",1,0,0,0,0,0,0,0,0,0,4.5,1,0,0,0,0,0,"8310",19
121,0,0,0,0,0,0,0,0,0,2,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,3.5,1,0,0,0,0,0,"6900",5
97,1,0,0,0,0,0,0,0,0,7,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,"3823",6
143,1,0,0,0,1,0,0,1,0,1,0,"Wohnung",0,0,0,0,1,1,0,0,0,0,4.5,1,0,0,0,0,0,"4435",2
78,1,0,0,0,0,0,0,1,0,1,0,"Wohnung",0,0,0,0,1,0,0,0,0,0,3.5,1,0,0,0,0,0,"1196",0
150,0,0,0,0,0,0,0,0,0,1,0,"Maisonette",0,0,0,0,0,0,0,0,0,0,5.5,1,0,0,0,0,0,"4528",7
141,0,0,0,0,0,0,0,0,0,1,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,4.5,1,0,0,0,0,0,"1897",46
103,1,0,0,0,0,0,0,1,0,1,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,3.5,1,0,0,0,0,0,"4629",45
110,0,0,0,0,0,0,0,0,0,2,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,"3961",55
90,0,0,0,0,0,0,0,0,0,3,0,"Maisonette",0,0,0,0,0,0,0,0,0,0,4.5,1,0,0,0,0,0,"7078",28
120,0,0,0,0,1,0,0,1,0,1,0,"Wohnung",1,0,0,0,1,1,0,0,0,0,4.5,1,0,0,0,0,0,"1965",3
95,0,0,0,0,1,0,0,1,0,3,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,3.5,1,0,0,0,0,0,"6500",12
170,0,0,0,0,0,0,1,0,0,3,0,"Dachwohnung",0,0,0,0,1,0,0,0,0,0,4.5,1,0,0,0,0,0,"5632",35
76,1,1,1,0,1,0,0,1,0,1,0,"Wohnung",0,1,0,0,0,0,0,0,0,0,4.5,1,0,0,1,0,1,"8580",33
157,0,0,0,0,0,0,1,1,0,2,0,"Wohnung",0,0,0,0,1,0,0,0,0,0,4.5,1,0,0,0,0,0,"3963",7
101,0,1,0,0,0,0,0,0,0,4,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,5.5,1,0,0,0,0,0,"2610",50
175,1,0,0,0,1,0,0,0,0,2,0,"Maisonette",1,0,0,0,1,0,0,0,0,0,5.5,1,0,0,0,0,0,"1462",29
85,1,0,0,0,0,0,0,0,0,2,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,3.5,1,0,0,0,0,0,"3132",0
141,0,0,0,0,0,0,0,0,0,2,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,4.5,1,0,0,0,0,0,"3954",36
88,0,1,0,0,0,0,0,0,0,1,0,"Wohnung",0,1,0,0,0,0,0,0,0,0,3.5,1,0,0,0,0,1,"7546",7
180,0,0,0,0,1,0,0,1,0,4,0,"Maisonette",0,0,1,0,1,0,0,0,0,0,6.5,1,0,0,0,0,1,"6062",5
119,1,0,0,0,0,0,0,1,0,1,0,"Wohnung",0,0,0,0,0,1,0,0,0,0,4.5,1,0,0,0,0,0,"9033",2
126,1,0,0,0,0,0,0,0,0,2,0,"Wohnung",1,0,0,0,0,0,0,0,0,0,4.5,1,0,0,0,0,0,"1092",92
160,1,1,0,0,1,0,0,1,0,1,0,"Maisonette",0,1,0,0,0,0,0,0,0,0,5,1,0,1,0,0,0,"1242",29
85,0,0,0,0,0,0,0,0,0,2,0,"Wohnung",0,0,0,0,1,0,0,0,0,0,4.5,1,0,0,0,0,0,"1873",13
100,0,0,0,0,0,0,0,0,0,1,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,4.5,1,0,0,0,0,0,"8913",52
190,0,0,0,0,0,0,0,0,0,7,0,"Wohnung",0,0,0,0,0,1,0,0,0,0,6,1,0,0,0,0,0,"1222",3
123,1,0,0,0,0,0,0,1,0,2,0,"Attika",1,0,0,0,1,0,0,0,0,0,4.5,1,0,0,0,0,0,"8187",4
85,1,0,0,0,1,0,0,1,0,3,0,"Wohnung",0,0,0,0,1,0,0,0,0,0,3.5,1,0,0,0,0,1,"5210",21
